genus_species,tnrs_accepted_name,clean_ejf,family_ejf,pathway
Ipomoea.convolviloides..,Ipomoea transvaalensis,Ipomoea transvaalensis,Convolvulaceae,C3
Ipomoea.coptica..L...Roth.,Ipomoea coptica,Ipomoea coptica,Convolvulaceae,C3
Ipomoea.pes.tigridis.L.,Ipomoea pes-tigridis,Ipomoea pes-tigridis,Convolvulaceae,C3
Ipomoea.plebia,Ipomoea biflora,Ipomoea biflora,Convolvulaceae,C3
Ipomoea.plebia.africana,,Ipomoea plebeia subsp. africana,Convolvulaceae,C3
Ipomoea.purpurea,Ipomoea purpurea,Ipomoea purpurea,Convolvulaceae,C3
Ipomoea.vagans.Bak.,Ipomoea vagans,Ipomoea vagans,Convolvulaceae,C3
Ipomopsis.aggregata,Ipomopsis aggregata,Ipomopsis aggregata,Polemoniaceae,C4
Ipomopsis.laxiflora,Ipomopsis laxiflora,Ipomopsis laxiflora,Polemoniaceae,C4
Ipomopsis.polycladon,Ipomopsis polycladon,Ipomopsis polycladon,Polemoniaceae,C4
Iris.bungei,Iris bungei,Iris bungei,Iridaceae,C3
Iris.dichotoma.Pall.,Iris dichotoma,Iris dichotoma,Iridaceae,C3
Iris.tenuifolia.Pall.,Iris tenuifolia,Iris tenuifolia,Iridaceae,C3
Isatis.tinctoria,Isatis tinctoria,Isatis tinctoria,Brassicaceae,C3
Ischemum.afrum,Ischaemum afrum,Ischaemum afrum,Poaceae,C4
Iseilema.fragile,Iseilema fragile,Iseilema fragile,Poaceae,C4
Isocoma.menziesii,Isocoma menziesii,Isocoma menziesii,Compositae,C3
Isoglossa.grantii,Isoglossa grantii,Isoglossa grantii,Acanthaceae,C3
Isolepis.nodosus,Ficinia nodosa,Ficinia nodosa,Cyperaceae,C4?
Isolepis.setacea,Isolepis setacea,Isolepis setacea,Cyperaceae,C3
Iva.axillaris,Iva axillaris,Iva axillaris,Compositae,C3
Ixiolaena brevicompta,Leiocarpa brevicompta,Leiocarpa brevicompta,Compositae,C3
Ixiolaena chloroleuca,Leiocarpa leptolepis,Leiocarpa leptolepis,Compositae,C3
Jamesbrittenia.atropurpurea,Jamesbrittenia atropurpurea,Jamesbrittenia atropurpurea,Scrophulariaceae,C3
Jasione.montana,Jasione montana,Jasione montana,Campanulaceae,C3
Jasminum.fluminense,Jasminum fluminense,Jasminum fluminense,Oleaceae,C3
Jasminum.odoratissimum,Jasminum odoratissimum,Jasminum odoratissimum,Oleaceae,C3
Jatropha,Jatropha,Jatropha,Euphorbiaceae,C3
Jatropha sp.,Jatropha,Jatropha,Euphorbiaceae,C3
Jatropha.sp.,Jatropha,Jatropha,Euphorbiaceae,C3
Juncus,Juncus,Juncus,Juncaceae,C3
Juncus capitatus,Juncus capitatus,Juncus capitatus,Juncaceae,C3
Juncus radula,Juncus radula,Juncus radula,Juncaceae,C3
Juncus_dombeyanus,Juncus pallescens,Juncus pallescens,Juncaceae,C3
Juncus_imbricatus,Juncus imbricatus,Juncus imbricatus,Juncaceae,C3
Juncus_sp,Juncus,Juncus,Juncaceae,C3
Juncus_spp.,Juncus,Juncus,Juncaceae,C3
Juncus.balticus,Juncus balticus,Juncus balticus,Juncaceae,C3
juncus.balticus,Juncus balticus,Juncus balticus,Juncaceae,C3
Juncus.bufonius,Juncus bufonius,Juncus bufonius,Juncaceae,C3
Juncus.buphonis,Juncus bufonius,Juncus bufonius,Juncaceae,C3
Juncus.capillaceus,Juncus capillaceus,Juncus capillaceus,Juncaceae,C3
Juncus.capitatus,Juncus capitatus,Juncus capitatus,Juncaceae,C3
Juncus.dombeyanus,Juncus pallescens,Juncus pallescens,Juncaceae,C3
Juncus.effusus,Juncus effusus,Juncus effusus,Juncaceae,C3
Juncus.imbricatus,Juncus imbricatus,Juncus imbricatus,Juncaceae,C3
Juncus.microcephalus,Juncus microcephalus,Juncus microcephalus,Juncaceae,C3
Juncus.sp.,Juncus,Juncus,Juncaceae,C3
juncus.sp.,Juncus,Juncus,Juncaceae,C3
Juncus.sp...,Juncus,Juncus,Juncaceae,C3
Juncus.sphaerocarpus,Juncus sphaerocarpus,Juncus sphaerocarpus,Juncaceae,C3
Juncus.spp.,Juncus,Juncus,Juncaceae,C3
Juncus.spp..1,Juncus,Juncus,Juncaceae,C3
Juncus.spp..2,Juncus,Juncus,Juncaceae,C3
Juncus.subsecundus,Juncus subsecundus,Juncus subsecundus,Juncaceae,C3
Juniperus,Juniperus,Juniperus,Cupressaceae,C3
Juniperus.communus,Juniperus communis,Juniperus communis,Cupressaceae,C3
Juniperus.horizontalis,Juniperus horizontalis,Juniperus horizontalis,Cupressaceae,C3
Juniperus.hybrid,Juniperus,Juniperus,Cupressaceae,C3
Juniperus.nana,Juniperus communis var. saxatilis,Juniperus communis var. saxatilis,Cupressaceae,C3
Juniperus.osteosperma,Juniperus osteosperma,Juniperus osteosperma,Cupressaceae,C3
Justicia flava,Justicia flava,Justicia flava,Acanthaceae,C3
Justicia protracta,Justicia protracta,Justicia protracta,Acanthaceae,C3
Justicia_lumped,Justicia,Justicia,Acanthaceae,C3
Justicia_matemensis,Justicia matammensis,Justicia matammensis,Acanthaceae,C3
Justicia_odora,Justicia odora,Justicia odora,Acanthaceae,C3
Justicia_pink,Justicia,Justicia,Acanthaceae,C3
Justicia_white,Justicia,Justicia,Acanthaceae,C3
Justicia.dichipteroides.and.white,Justicia diclipteroides,Justicia diclipteroides,Acanthaceae,C3
Justicia.flava,Justicia flava,Justicia flava,Acanthaceae,C3
Justicia.petiolaris,Justicia petiolaris,Justicia petiolaris,Acanthaceae,C3
Justicia.protracta,Justicia protracta,Justicia protracta,Acanthaceae,C3
K,,NA,NA,
Kalanchoe,Kalanchoe,Kalanchoe,Crassulaceae,CAM?
Kalanchoe.rotundifolia,Kalanchoe rotundifolia,Kalanchoe rotundifolia,Crassulaceae,CAM?
Karroochloa.purpurea,Tribolium purpureum,Tribolium purpureum,Poaceae,C3
kb.unknown.1,,NA,NA,
kb.unknown1,,NA,NA,
kb.unknown2,,NA,NA,
kb.unknown4,,NA,NA,
Kedrostis.foetidissima,Kedrostis foetidissima,Kedrostis foetidissima,Cucurbitaceae,C3
Kelleria.dieffenbachii,Kelleria dieffenbachii,Kelleria dieffenbachii,Thymelaeaceae,C3
Kengyilia_thoroldiana,Elymus thoroldianus,Elymus thoroldianus,Poaceae,C3
Kernera.saxatilis..L...Rchb.,Kernera saxatilis,Kernera saxatilis,Brassicaceae,C3
Kickxia.commutata,Kickxia commutata,Kickxia commutata,Plantaginaceae,C3
Kickxia.scoparia,,Kickxia scoparia,Plantaginaceae,C3
Killingia_sp,Killickia,Killickia,Lamiaceae,C3
Killingia.sp.,Killickia,Killickia,Lamiaceae,C3
Kleinia_odora,Kleinia odora,Kleinia odora,Compositae,C3
Kleinia.neriifolia,Kleinia neriifolia,Kleinia neriifolia,Compositae,C3
kobresia,Kobresia,Kobresia,Cyperaceae,C3
Kobresia_humilis,Kobresia humilis,Kobresia humilis,Cyperaceae,C3
Kobresia_pygmaea,Kobresia pygmaea,Kobresia pygmaea,Cyperaceae,C3
Kobresia_schoenoides,Kobresia schoenoides,Kobresia schoenoides,Cyperaceae,C3
Kochia.melanoptera,Kochia melanoptera,Kochia melanoptera,Amaranthaceae,C3
Kochia.prostrata,Bassia prostrata,Bassia prostrata,Amaranthaceae,C3
Kochia.prostrata_L._Schrad.,Bassia prostrata,Bassia prostrata,Amaranthaceae,C3
Kochia.pubescens,Bassia salsoloides,Bassia salsoloides,Amaranthaceae,C3
Kochia.scoparia,Bassia scoparia,Bassia scoparia,Amaranthaceae,C3
koeleria_pyramidata,Koeleria pyramidata,Koeleria pyramidata,Poaceae,C3
Koeleria.capensis,Koeleria capensis,Koeleria capensis,Poaceae,C3
Koeleria.cristata,Koeleria pyramidata,Koeleria pyramidata,Poaceae,C3
Koeleria.glauca,Koeleria glauca,Koeleria glauca,Poaceae,C3
koeleria.macrantha,Koeleria macrantha,Koeleria macrantha,Poaceae,C3
Koeleria.macrantha,Koeleria macrantha,Koeleria macrantha,Poaceae,C3
Koeleria.novozelandica,Koeleria novozelandica,Koeleria novozelandica,Poaceae,C3
Koeleria.Pers.,Koeleria,Koeleria,Poaceae,C3
Koeleria.pyramidata,Koeleria pyramidata,Koeleria pyramidata,Poaceae,C3
Koeleria.pyramidata..Lam...P.B..agg.,Koeleria pyramidata,Koeleria pyramidata,Poaceae,C3
Koeleria.spp,Koeleria,Koeleria,Poaceae,C3
Kohautia.caespitosa,Kohautia caespitosa,Kohautia caespitosa,Rubiaceae,C3
Kohautia.cephoides,Kohautia,Kohautia,Rubiaceae,C3
Kohautia.senegalensis.Cham..Et.Schl.,Kohautia tenuis,Kohautia tenuis,Rubiaceae,C3
Kolleria_sp,,NA,NA,C3
Krameria.erecta,Krameria erecta,Krameria erecta,Krameriaceae,C3
Krapovickasia.flavescens,Krapovickasia flavescens,Krapovickasia flavescens,Malvaceae,C3
Krascheninnikovia.lanata,Krascheninnikovia ceratoides subsp. lanata,Krascheninnikovia ceratoides subsp. lanata,Amaranthaceae,C3
Krasheninnikovia.lanata,Krascheninnikovia ceratoides subsp. lanata,Krascheninnikovia ceratoides subsp. lanata,Amaranthaceae,C3
kuhnia_eupatorioides,Brickellia eupatorioides,Brickellia eupatorioides,Compositae,C3
Kuhnia.eupatorioides,Brickellia eupatorioides,Brickellia eupatorioides,Compositae,C3
Kyllinga_nervosa,Kyllinga nervosa,Kyllinga nervosa,Cyperaceae,C4?
Kyllinga.alba,Kyllinga alba,Kyllinga alba,Cyperaceae,C4?
Kyphocarpa.angustifolia,Kyphocarpa angustifolia,Kyphocarpa angustifolia,Amaranthaceae,C3
Lachnanthes.caroliana,Lachnanthes caroliana,Lachnanthes caroliana,Haemodoraceae,C3
Lactuca serriola,Lactuca serriola,Lactuca serriola,Compositae,C3
lactuca_serriola,Lactuca serriola,Lactuca serriola,Compositae,C3
Lactuca.seriola,Lactuca serriola,Lactuca serriola,Compositae,C3
Lactuca.serriola,Lactuca serriola,Lactuca serriola,Compositae,C3
Lactuca.sp.,,Lactuca,Compositae,C3
Lactuta.serriola,Lactuca serriola,Lactuca serriola,Compositae,C3
Lagochilus.ilicifolius,Lagochilus ilicifolius,Lagochilus ilicifolius,Lamiaceae,C3
Lagohillus.elicifolia,Lagochilus,Lagochilus,Lamiaceae,C3
Lagophylla.ramosissima,Lagophylla ramosissima,Lagophylla ramosissima,Compositae,C3
Lagotis_brachystachya,Lagotis brachystachya,Lagotis brachystachya,Plantaginaceae,C3
Lagurus.ovatus,Lagurus ovatus,Lagurus ovatus,Poaceae,C3
Lamarckia.aurea,Lamarckia aurea,Lamarckia aurea,Poaceae,C3
Lamarkia..aurea,Lamarckia aurea,Lamarckia aurea,Poaceae,C3
Lamiophlomis_rotata,Phlomoides rotata,Phlomoides rotata,Lamiaceae,C3
Lamium.amplexicaule,Lamium amplexicaule,Lamium amplexicaule,Lamiaceae,C3
Lancea_tibetica,Lancea tibetica,Lancea tibetica,Phrymaceae,C3
Lantana rugosa,Lantana rugosa,Lantana rugosa,Verbenaceae,C3
Lantana.rugosa,Lantana rugosa,Lantana rugosa,Verbenaceae,C3
Lappula,Lappula,Lappula,Boraginaceae,C3
Lappula.occidentalis,Lappula occidentalis,Lappula occidentalis,Boraginaceae,C3
lappula.occidentalis,Lappula occidentalis,Lappula occidentalis,Boraginaceae,C3
Lappula.redowskii,Lappula redowskii,Lappula redowskii,Boraginaceae,C3
Lapula,Lappula,Lappula,Boraginaceae,C3
LARE,,NA,NA,
Larrea_tridentata,Larrea tridentata,Larrea tridentata,Zygophyllaceae,C3
Larrea.tridentata,Larrea tridentata,Larrea tridentata,Zygophyllaceae,C3
Laserpitium.siler,Laserpitium siler,Laserpitium siler,Apiaceae,C3
Lasthenia.californica,Lasthenia californica,Lasthenia californica,Compositae,C3
LATHYRUS_MAGUALLANICUS,Lathyrus magellanicus,Lathyrus magellanicus,Leguminosae,C3
Lathyrus.angulatus,Lathyrus angulatus,Lathyrus angulatus,Leguminosae,C3
Lathyrus.maritimus,,Lathyrus japonicus subsp. maritimus,Leguminosae,C3
Lathyrus.polymorphus,,Lathyrus polymorphus,Leguminosae,C3
Lathyrus.sphaericus,Lathyrus sphaericus,Lathyrus sphaericus,Leguminosae,C3
Lathyrus.subulatus,,Lathyrus subulatus,Leguminosae,C3
Lathyrus.venosus,,Lathyrus venosus,Leguminosae,C3
Launaea.arborescens,Launaea arborescens,Launaea arborescens,Compositae,C3
Launaea.nudicaulis,Launaea nudicaulis,Launaea nudicaulis,Compositae,C3
Lavandula.stoechas,Lavandula stoechas,Lavandula stoechas,Lamiaceae,C3
Leaf.Litter,,NA,NA,
Lebeckia.spinescens,Lebeckia spinescens,Lebeckia spinescens,Leguminosae,C3
Ledabouria.sp.,Ledebouria,Ledebouria,Hyacinthaceae,C3
Ledebouria,Ledebouria,Ledebouria,Hyacinthaceae,C3
Ledebouria revoluta,Ledebouria revoluta,Ledebouria revoluta,Hyacinthaceae,C3
Ledebouria.revoluta,Ledebouria revoluta,Ledebouria revoluta,Hyacinthaceae,C3
Ledebouria.seedling..crinum.,Ledebouria,Ledebouria,Hyacinthaceae,C3
Ledebouria.spp,Ledebouria,Ledebouria,Hyacinthaceae,C3
Ledebouria.striped,Ledebouria,Ledebouria,Hyacinthaceae,C3
Leersia.hexandra,Leersia hexandra,Leersia hexandra,Poaceae,C3
Legume.uk_,NA,NA,Leguminosae,C3
Legume.unk..late.104.deer.,NA,NA,Leguminosae,C3
Lemooria burkittii,Lemooria burkittii,Lemooria burkittii,Compositae,C3
Leontodon.autumnalis,Scorzoneroides autumnalis,Scorzoneroides autumnalis,Compositae,C3
Leontodon.hispidus,Leontodon hispidus,Leontodon hispidus,Compositae,C3
Leontodon.hispidus.L..s.l.,Leontodon hispidus,Leontodon hispidus,Compositae,C3
Leontodon.pyrenaicus,Scorzoneroides pyrenaica,Scorzoneroides pyrenaica,Compositae,C3
Leontodon.t..Hispida,Leontodon hispidus,Leontodon hispidus,Compositae,C3
Leontodon.t..taraxacoides,Leontodon taraxacoides,Leontodon taraxacoides,Compositae,C3
Leontodon.taraxacoides,Leontodon taraxacoides,Leontodon taraxacoides,Compositae,C3
leontopodium,,Leontopodium,Compositae,C3
Leontopodium_nanum,Leontopodium nanum,Leontopodium nanum,Compositae,C3
LEPI,,NA,NA,
Lepidagathis.anobrya.Nees.,Lepidagathis anobrya,Lepidagathis anobrya,Acanthaceae,C3
Lepidium leptopetalum,Lepidium leptopetalum,Lepidium leptopetalum,Brassicaceae,C3
Lepidium phlebopetalum,Lepidium phlebopetalum,Lepidium phlebopetalum,Brassicaceae,C3
Lepidium pseudohyssopifolium,Lepidium pseudohyssopifolium,Lepidium pseudohyssopifolium,Brassicaceae,C3
Lepidium sp.,Lepidium,Lepidium,Brassicaceae,C3
lepidium_densiflorum,Lepidium densiflorum,Lepidium densiflorum,Brassicaceae,C3
Lepidium.bonariense,Lepidium bonariense,Lepidium bonariense,Brassicaceae,C3
Lepidium.densiflorum,Lepidium densiflorum,Lepidium densiflorum,Brassicaceae,C3
Lepidium.heterophyllum,Lepidium heterophyllum,Lepidium heterophyllum,Brassicaceae,C3
Lepidium.nitidum,Lepidium nitidum,Lepidium nitidum,Brassicaceae,C3
Lepidium.perfoliatum,Lepidium perfoliatum,Lepidium perfoliatum,Brassicaceae,C3
Lepidium.sp.,Lepidium,Lepidium,Brassicaceae,C3
Leptadenia.hastata..PERS..Decn,Leptadenia lancifolia,Leptadenia lancifolia,Apocynaceae,C3
Leptinella.squalida,Cotula squalida,Cotula squalida,Compositae,C3
Leptocoryphium.lanatum,Leptocoryphium lanatum,Leptocoryphium lanatum,Poaceae,C4
Leptodactylon.pungens,Linanthus pungens,Linanthus pungens,Polemoniaceae,NA
Leptorhynchos.squamatus,,Leptorhynchos squamatus,Compositae,C3
Leptosiphon.nuttallii,Leptosiphon nuttallii,Leptosiphon nuttallii,Polemoniaceae,C4
Leptospermum.laevigatum,Leptospermum laevigatum,Leptospermum laevigatum,Myrtaceae,C3
lespedeza_capitata,,Lespedeza capitata,Leguminosae,C3
lespedeza_stipulacea,Kummerowia stipulacea,Kummerowia stipulacea,Leguminosae,C3
lespedeza_violacea,,Lespedeza capitata,Leguminosae,C3
Lespedeza.capitata,,Lespedeza capitata,Leguminosae,C3
Lesquerella.ludoviciana,Lesquerella ludoviciana,Lesquerella ludoviciana,Brassicaceae,C3
Lessertia.inflata,Lessertia inflata,Lessertia inflata,Leguminosae,C3
Lessingia.filaginifolia,Corethrogyne filaginifolia,Corethrogyne filaginifolia,Compositae,C3
Lessingia.filanginifolia,Corethrogyne filaginifolia,Corethrogyne filaginifolia,Compositae,C3
Leucanthemopsis.alpina..L...Heyw..agg.,Leucanthemopsis alpina,Leucanthemopsis alpina,Compositae,C3
Leucanthemum.vulgare,Leucanthemum vulgare,Leucanthemum vulgare,Compositae,C3
Leucanthemum.vulgare.Lam..agg.,Leucanthemum vulgare,Leucanthemum vulgare,Compositae,C3
Leucas,Leucas,Leucas,Lamiaceae,C3
Leucas glabrata,Leucas glabrata,Leucas glabrata,Lamiaceae,C3
Leucas_spp_,Leucas,Leucas,Lamiaceae,C3
Leucas.martinicensis..Jacq...Ait.,Leucas martinicensis,Leucas martinicensis,Lamiaceae,C3
Leucas.martiniscensis.and.glabrata,Leucas martinicensis,Leucas martinicensis,Lamiaceae,C3
Leucas.sexdentata,Leucas sexdentata,Leucas sexdentata,Lamiaceae,C3
Leucelene_ericoides,Chaetopappa ericoides,Chaetopappa ericoides,Compositae,C3
leuceria_millefolium,,Leuceria millefolium,Compositae,C3
Leucocrinum.montanum,Leucocrinum montanum,Leucocrinum montanum,Asparagaceae,C3
Leucopogon.fraseri,,Leucopogon fraseri,Ericaeae,C3
Leymus,Leymus,Leymus,Poaceae,C3
Leymus_secalinus,Leymus secalinus,Leymus secalinus,Poaceae,C3
Leymus.chinensis_Trin._Tzvel.,Leymus chinensis,Leymus chinensis,Poaceae,C3
Leymus.cinereus,Leymus cinereus,Leymus cinereus,Poaceae,C3
Leymus.triticoides,Leymus triticoides,Leymus triticoides,Poaceae,C3
lg4.ldb.unknown2,,NA,NA,
lgs.3.uk.1,,NA,NA,
lgs.5.uk.1,,NA,NA,
Liatris,,Liatris,Compositae,C3
liatris_punctata,Liatris punctata,Liatris punctata,Compositae,C3
Liatris.punctata,Liatris punctata,Liatris punctata,Compositae,C3
Ligusticum.mutellina..L...Crantz,Ligusticum mutellina,Ligusticum mutellina,Apiaceae,C3
LILIACEA_sp,,NA,NA,C3
Lily,,NA,NA,
Lily.A.and.B,,NA,NA,
Lily.sp.,,NA,NA,
Limeum pterocarpus var. pterocarpus,Limeum pterocarpum,Limeum pterocarpum,Limeaceae,C3
Limeum.aethiopicum,Limeum aethiopicum,Limeum aethiopicum,Limeaceae,C3
Limeum.pterocarpum,Limeum pterocarpum,Limeum pterocarpum,Limeaceae,C3
Limeum.pterocarpus.var..pterocarpus,Limeum pterocarpum,Limeum pterocarpum,Limeaceae,C3
Limeum.sulcatum,Limeum sulcatum,Limeum sulcatum,Limeaceae,C3
Limonium.bicolor..Bunge..O..Kuntze,Limonium bicolor,Limonium bicolor,Plumbaginaceae,C3
Limonium.tenellum,Limonium tenellum,Limonium tenellum,Plumbaginaceae,C3
Linaria.dalmatica,Linaria dalmatica,Linaria dalmatica,Plantaginaceae,C3
linaria.genistifolia.ssp.dalmatica,Linaria genistifolia,Linaria genistifolia,Plantaginaceae,C3
Linaria.micrantha,Linaria micrantha,Linaria micrantha,Plantaginaceae,C3
lindelofia,Lindelofia,Lindelofia,Boraginaceae,C3
Lintana.nutans,Lintonia nutans,Lintonia nutans,Poaceae,C4
Lintonia.nutans,Lintonia nutans,Lintonia nutans,Poaceae,C4
Linum thunbergii,Linum thunbergii,Linum thunbergii,Linaceae,C3
linum_sulcatum,Linum sulcatum,Linum sulcatum,Linaceae,C3
Linum.aristatum,Linum aristatum,Linum aristatum,Linaceae,C3
Linum.bienne,Linum bienne,Linum bienne,Linaceae,C3
Linum.catharticum,Linum catharticum,Linum catharticum,Linaceae,C3
Linum.catharticum.L.,Linum catharticum,Linum catharticum,Linaceae,C3
Linum.lewisii,Linum lewisii,Linum lewisii,Linaceae,C3
Linum.perenne,Linum perenne,Linum perenne,Linaceae,C3
linum.perenne.ssp.lewisii,Linum perenne,Linum perenne,Linaceae,C3
Linum.rigidum,Linum rigidum,Linum rigidum,Linaceae,C3
Linum.sellaginoides,Cliococca selaginoides,Cliococca selaginoides,Linaceae,C3
Linum.sp.,Linum,Linum,Linaceae,C3
Linum.strictum,Linum strictum,Linum strictum,Linaceae,C3
Linum.thunbergii,Linum thunbergii,Linum thunbergii,Linaceae,C3
Linum.usitatissimum,Linum usitatissimum,Linum usitatissimum,Linaceae,C3
Lippia,Lippia,Lippia,Verbenaceae,C3
Lippia.javanica,Lippia javanica,Lippia javanica,Verbenaceae,C3
Lippia.sp,Lippia,Lippia,Verbenaceae,C3
Liptothrium.senegalensis,Leptothrium senegalense,Leptothrium senegalense,Poaceae,C4
Lissanthe.sp.,Lissanthe,Lissanthe,Ericaceae,C3
Listera.ovata..L...R..Br.,Neottia ovata,Neottia ovata,Orchidaceae,CAM?
Lithospermum,Lithospermum,Lithospermum,Boraginaceae,C3
lithospermum_incisum,Lithospermum incisum,Lithospermum incisum,Boraginaceae,C3
Lithospermum.arvensis..aka.buglossoides.arvensis.,Buglossoides arvensis,Buglossoides arvensis,Boraginaceae,C3
Lithospermum.canescens,Lithospermum canescens,Lithospermum canescens,Boraginaceae,C3
Lithospermum.carolinense,Lithospermum caroliniense,Lithospermum caroliniense,Boraginaceae,C3
Lithospermum.incisum,Lithospermum incisum,Lithospermum incisum,Boraginaceae,C3
lithospermum.ruderale,Lithospermum ruderale,Lithospermum ruderale,Boraginaceae,C3
Lithospermum.spp.,Lithospermum,Lithospermum,Boraginaceae,C3
Liuear_red.stem.small,,NA,NA,
ll6.unknown.2,,NA,NA,
LOASA_BERGII,Loasa bergii,Loasa bergii,Loasaceae,C3
Lobelia.concolor,Lobelia concolor,Lobelia concolor,Campanulaceae,C3
Lobelia.pratioides,Lobelia pratioides,Lobelia pratioides,Campanulaceae,C3
Lobularia.canariensis,Lobularia canariensis,Lobularia canariensis,Brassicaceae,C3
Logfia.arvensis,Filago arvensis,Filago arvensis,Compositae,C3
Logfia.gallica,Filago gallica,Filago gallica,Compositae,C3
Logfia.mnima,Filago minima,Filago minima,Compositae,C3
Lolium perenne,Lolium perenne,Lolium perenne,Poaceae,C3
Lolium rigidum,Lolium rigidum,Lolium rigidum,Poaceae,C3
Lolium_multiflorum,Lolium multiflorum,Lolium multiflorum,Poaceae,C3
Lolium.multiflorum,Lolium multiflorum,Lolium multiflorum,Poaceae,C3
Lolium.perenne,Lolium perenne,Lolium perenne,Poaceae,C3
Lolium.rigidium,Lolium rigidum,Lolium rigidum,Poaceae,C3
Lolium.sp.,Lolium,Lolium,Poaceae,C3
Lolium.temulentum,Lolium temulentum,Lolium temulentum,Poaceae,C3
Lomandra,Lomandra,Lomandra,Asparagaceae,C3
Lomandra filiformis subsp. coriacea,,Lomandra filiformis subsp. coriacea,Asparagaceae,C3
Lomandra.filiformis,Lomandra filiformis,Lomandra filiformis,Asparagaceae,C3
Lomandra.nana,Lomandra nana,Lomandra nana,Asparagaceae,C3
Lomandra.spp.,Lomandra,Lomandra,Asparagaceae,C3
Lomatium.dissectum,Lomatium dissectum,Lomatium dissectum,Apiaceae,C3
lomatium.macrocarpum,Peucedanum macrocarpum,Peucedanum macrocarpum,Apiaceae,C3
Lomatium.nudicaule,Lomatium nudicaule,Lomatium nudicaule,Apiaceae,C3
Lomatium.spp.,Lomatium,Lomatium,Apiaceae,C3
Lomatium.utriculatum,Lomatium utriculatum,Lomatium utriculatum,Apiaceae,C3
"Long thin narrow leave, opposite ",,NA,NA,
Lonicera.sp.,Lonicera,Lonicera,Caprifoliaceae,C3
Lonicera.sp..1,Lonicera,Lonicera,Caprifoliaceae,C3
Lophiocarpus.polystachyus,Lophiocarpus polystachyus,Lophiocarpus polystachyus,Lophiocarpaceae,C3
Lophochloa pumila,Rostraria pumila,Rostraria pumila,Poaceae,C3
Lotononis.carinata,Lotononis carinata,Lotononis carinata,Leguminosae,C3
Lotononis.tenella.,,Lotononis tenella,Leguminosae,C3
Lotus.corniculatus,Lotus corniculatus,Lotus corniculatus,Leguminosae,C3
Lotus.corniculatus.L..agg,Lotus corniculatus,Lotus corniculatus,Leguminosae,C3
lotus.denticulatus,Acmispon denticulatus,Acmispon denticulatus,Leguminosae,C3
Lotus.glaber,Lotus glaber,Lotus glaber,Leguminosae,C3
Lotus.humistratus,Acmispon brachycarpus,Acmispon brachycarpus,Leguminosae,C3
Lotus.purshianus,Lotus purshianus,Lotus purshianus,Leguminosae,C3
Lotus.salsuginosus,Acmispon maritimus,Acmispon maritimus,Leguminosae,C3
Lotus.scoparius,,Syrmatium glabrum,Leguminosae,C3
Lotus.sessilifolius,Lotus sessilifolius,Lotus sessilifolius,Leguminosae,C3
Lotus.strigosus,Ottleya strigosa,Ottleya strigosa,Leguminosae,C3
Lotus.subpinnatus,Acmispon subpinnatus,Acmispon subpinnatus,Leguminosae,C3
Lotus.wrangelianus,Acmispon wrangelianus,Acmispon wrangelianus,Leguminosae,C3
Loudetia.superba.De.Not.,Tristachya superba,Tristachya superba,Poaceae,C4
Lucilia.sp.,,Lucilia,Compositae,C3
Ludwigia.pilosa,Ludwigia pilosa,Ludwigia pilosa,Onagraceae,C3
Ludwigia.repens,Ludwigia repens,Ludwigia repens,Onagraceae,C3
Ludwigia.spp,Ludwigia,Ludwigia,Onagraceae,C3
Ludwigia.suffruticosa,Ludwigia suffruticosa,Ludwigia suffruticosa,Onagraceae,C3
lundbolm.lake.grass.1,,NA,NA,
lundbolm.lake.grass.2,,NA,NA,
lundbolm.lake.lily,,NA,NA,
lundbolm.lake.uk.1,,NA,NA,
lundbolm.lake.uk.3,,NA,NA,
Lupinus.bicolor,Lupinus bicolor,Lupinus bicolor,Leguminosae,C3
Lupinus.caespitosus,,Lupinus caespitosus,Leguminosae,C3
Lupinus.hispanicus,Lupinus hispanicus,Lupinus hispanicus,Leguminosae,C3
Lupinus.nanus,Lupinus nanus,Lupinus nanus,Leguminosae,C3
Lupinus.pusillus,,Lupinus pusillus,Leguminosae,C3
lupinus.sp.,Lupinus,Lupinus,Leguminosae,C3
Lupinus.spp.,Lupinus,Lupinus,Leguminosae,C3
Luzula_campestris,Luzula campestris,Luzula campestris,Juncaceae,C3
Luzula.campestris,Luzula campestris,Luzula campestris,Juncaceae,C3
Luzula.meridionalis,Luzula meridionalis,Luzula meridionalis,Juncaceae,C3
Luzula.multiflora,Luzula multiflora,Luzula multiflora,Juncaceae,C3
Luzula.multiflora..Retz...Lej.,Luzula multiflora,Luzula multiflora,Juncaceae,C3
Luzula.nutans,Luzula pediformis,Luzula pediformis,Juncaceae,C3
Luzula.rufa,Luzula rufa,Luzula rufa,Juncaceae,C3
Luzula.sp.,Luzula,Luzula,Juncaceae,C3
Luzula.sudetica,Luzula sudetica,Luzula sudetica,Juncaceae,C3
Lychnis.alba,Silene latifolia subsp. alba,Silene latifolia subsp. alba,Caryophyllaceae,C3
Lycium_berlandieri,Lycium berlandieri,Lycium berlandieri,Solanaceae,C3
Lycium_pallidum,Lycium pallidum,Lycium pallidum,Solanaceae,C3
Lycium.andersonii,Lycium andersonii,Lycium andersonii,Solanaceae,C3
Lycium.cinereum,Lycium cinereum,Lycium cinereum,Solanaceae,C3
Lycium.cooperii,Lycium cooperi,Lycium cooperi,Solanaceae,C3
